region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
United Kingdom;2018;31517597;19024664;NA;12409324;380;55335;83609;18499594;401611;123459;12397636;10075;1613;104;NA;NA;27447;343
Liechtenstein;2012;28000;20350;0;7370;30;10;290;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;250
Liechtenstein;2013;28100;20060;0;7940;30;20;100;19810;250;NA;7940;10;NA;NA;0;NA;60;0
Liechtenstein;2014;28470;19920;0;8430;30;40;130;19640;280;NA;8420;60;NA;NA;0;NA;60;0
Liechtenstein;2015;28802;19759;0;8896;26;62;147;19427;332;NA;8885;11;NA;NA;0;NA;59;0
Liechtenstein;2016;29241;19603;0;9430;30;117;208;19238;365;NA;9415;15;NA;NA;0;NA;61;0
Liechtenstein;2017;29675;19596;0;9822;30;164;257;19150;446;NA;9802;20;NA;0;0;0;63;0
Liechtenstein;2018;29949;19687;0;9927;32;237;335;19159;528;NA;9906;21;NA;0;0;0;66;0
Norway;2012;2443000;1408000;0;1026000;0;8000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Norway;2013;2500265;1369000;NA;1111000;NA;18000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000
Norway;2014;2555443;1329000;NA;1187000;NA;39000;40000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000
Norway;2015;2610000;1296000;NA;1244000;NA;69000;70000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000
Norway;2016;2662910;1283051;NA;1281166;116;97532;98693;1196178;54545;32328;1277942;1038;2186;41;NA;NA;NA;1004
Norway;2017;2719396;1277806;NA;1301337;169;138983;140253;1140098;75125;62583;1295517;1086;4734;98;NA;NA;NA;1003
Norway;2018;2751949;1256131;0;1299096;223;195348;196722;1075267;91193;89671;1291445;1172;6479;143;0;0;0;1008
Switzerland;2012;4255000;3279000;1000;934000;3000;2000;42000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36000
Switzerland;2013;4321000;3235000;400;1038000;3600;3000;16000;3235000;17100;NA;1036000;1700;0;0;0;0;4500;3000
Switzerland;2014;4384000;3241000;200;1126000;4000;4000;18000;3202000;38800;NA;1124000;2300;NA;0;0;0;5000;4000
Switzerland;2015;4458000;3219000;100;1217000;4000;8000;22000;3174000;45000;NA;1214000;3000;NA;0;0;0;5500;500
Switzerland;2016;4524000;3207400;100;1295500;4100;10700;25200;3149900;53400;NA;1291500;4000;NA;0;0;0;6100;4300
Switzerland;2017;4570800;3190500;100;1351200;4100;14500;29200;3127000;63400;NA;1346900;4200;NA;100;0;0;6500;3900
Switzerland;2018;4602700;3189800;100;1378900;3900;19200;34000;3114700;75100;NA;1374200;4700;NA;100;0;0;7000;3700
Macedonia;2012;302000;199000;9960;93000;NA;40;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Macedonia;2013;346798;213784;10798;121895;NA;34;11119;213784;NA;NA;121895;NA;NA;NA;NA;NA;NA;287
Macedonia;2014;371449;215175;10976;145065;NA;32;11209;NA;NA;NA;145065;NA;NA;NA;NA;NA;NA;201
